place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
1,1,1,1.0,2021,23.0,7.0,2.0,1.0,1,1.0,1.0,5.0,130.0,15,8,3,85,85246,1,1,0.0,2.0,46.737308,-1.159257,3,4,2
9,2,2,1.0,2021,4.0,7.0,0.0,1.0,3,2.0,1.0,1.0,80.0,30,5,1,72,72230,1,2,0.0,3.0,47.845199,0.129797,17,6,2
10,3,2,0.0,2021,18.0,7.0,1.0,1.0,3,1.0,1.0,1.0,50.0,4,5,1,92,92064,2,1,0.0,6.0,48.8465083768,2.2140784727,16,2,1
2,2,1,1.0,2021,0.0,7.0,2.0,1.0,1,1.0,1.0,1.0,50.0,2,8,1,94,94022,1,1,0.0,4.0,48.7733811508,2.4011395508,18,4,3
1,1,1,2.0,2021,21.0,2.0,2.0,3.0,4,2.0,1.0,1.0,50.0,19,3,5,63,63113,2,2,0.0,3.0,45.79271,3.11385,22,2,2
10,3,1,0.0,2021,66.0,7.0,1.0,1.0,4,2.0,2.0,1.0,50.0,29,12,2,39,39198,2,1,1.0,6.0,47.090394,5.483057,17,2,1
1,1,1,2.0,2021,12.0,50.0,0.0,3.0,4,2.0,1.0,5.0,30.0,21,12,1,75,75107,2,1,0.0,7.0,48.862846,2.312381,14,1,1
2,2,2,2.0,2021,17.0,30.0,2.0,1.0,3,2.0,2.0,1.0,50.0,27,12,5,6,6079,2,6,0.0,3.0,43.549108,6.942426,19,3,2
1,1,1,2.0,2021,16.0,2.0,2.0,1.0,4,1.0,1.0,1.0,30.0,27,10,1,54,54395,2,1,0.0,2.0,48.68606,6.18291,13,2,2
1,1,1,1.0,2021,69.0,7.0,9.0,1.0,3,2.0,1.0,1.0,80.0,25,3,1,52,52354,1,1,0.0,6.0,47.788191,5.362723,15,3,2
2,2,2,1.0,2021,26.0,7.0,0.0,1.0,1,3.0,1.0,1.0,130.0,24,7,1,21,21272,1,1,0.0,2.0,47.435044,4.307212,9,8,2
2,2,1,2.0,2021,17.0,33.0,2.0,1.0,3,2.0,1.0,1.0,80.0,29,5,1,30,30094,1,1,0.0,3.0,44.072201,3.955615,17,3,2
1,1,2,2.0,2021,58.0,32.0,0.0,3.0,3,1.0,1.0,1.0,50.0,12,7,1,92,92049,2,1,0.0,7.0,48.81792,2.32546,17,1,1
1,1,1,1.0,2021,56.0,7.0,2.0,1.0,2,2.0,1.0,1.0,80.0,30,12,2,53,53121,1,1,0.0,3.0,48.427528,-0.289292,17,2,2
1,1,2,2.0,2021,24.0,30.0,0.0,1.0,4,2.0,1.0,1.0,50.0,3,11,1,94,94011,2,1,0.0,6.0,48.769604,2.484764,12,1,1
1,1,1,1.0,2021,24.0,3.0,2.0,1.0,4,2.0,1.0,1.0,50.0,25,6,5,59,59599,2,2,0.0,3.0,50.72954,3.16446,0,2,2
1,1,1,1.0,2021,42.0,3.0,2.0,1.0,3,2.0,1.0,1.0,80.0,8,1,2,38,38543,1,4,1.0,1.0,45.6478677473,5.4898166656,8,2,2
10,3,2,0.0,2021,59.0,7.0,1.0,1.0,4,1.0,1.0,1.0,50.0,20,8,5,34,34209,2,1,0.0,6.0,43.27859,3.364224,20,2,1
7,2,2,8.0,2021,63.0,37.0,2.0,1.0,3,2.0,1.0,1.0,50.0,17,8,1,93,93055,2,1,0.0,3.0,48.89445,2.41982,17,3,2
1,1,1,2.0,2021,31.0,31.0,2.0,1.0,4,1.0,1.0,1.0,50.0,8,4,1,75,75113,2,7,0.0,2.0,48.831878,2.355837,18,2,2
1,1,1,2.0,2021,57.0,1.0,2.0,5.0,4,2.0,3.0,5.0,30.0,6,12,1,75,75116,2,1,0.0,3.0,48.856771,2.2871,8,2,2
1,1,1,2.0,2021,53.0,33.0,2.0,1.0,3,1.0,2.0,1.0,50.0,10,4,1,34,34003,2,1,1.0,3.0,43.3111139815,3.4781923837,15,2,2
1,1,1,2.0,2021,31.0,33.0,0.0,1.0,1,3.0,1.0,1.0,70.0,1,9,1,95,95641,1,1,0.0,6.0,49.06951,2.55249,18,1,1
1,1,1,2.0,2021,44.0,50.0,2.0,3.0,4,2.0,1.0,4.0,50.0,16,7,1,93,93064,2,1,0.0,1.0,48.8799762088,2.4741339684,20,2,2
3,2,2,1.0,2021,26.0,7.0,2.0,1.0,1,3.0,2.0,1.0,90.0,9,1,1,92,92050,1,1,0.0,2.0,48.9180741498,2.2229397297,13,4,2
10,3,2,0.0,2021,83.0,7.0,1.0,1.0,4,2.0,1.0,4.0,50.0,13,10,1,60,60176,2,9,0.0,6.0,49.233558,2.886988,15,2,1
1,1,1,2.0,2021,57.0,34.0,2.0,1.0,4,2.0,1.0,1.0,50.0,25,2,1,75,75112,2,3,0.0,2.0,48.834205,2.410762,8,2,2
1,1,1,1.0,2021,25.0,7.0,0.0,1.0,1,3.0,1.0,1.0,110.0,24,8,1,69,69294,1,1,0.0,6.0,45.6271922002,4.8164034375,12,1,1
10,3,2,0.0,2021,87.0,7.0,1.0,1.0,4,1.0,1.0,1.0,50.0,29,11,3,69,69382,2,1,0.0,6.0,45.74371,4.82315,17,2,1
1,1,1,2.0,2021,16.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,2,8,1,59,59105,2,1,0.0,1.0,50.43628,3.244953,16,2,2
2,2,2,1.0,2021,17.0,7.0,2.0,1.0,7,2.0,1.0,1.0,70.0,13,6,1,31,31417,1,1,0.0,1.0,43.630148,1.282753,12,4,2
10,3,2,0.0,2021,25.0,7.0,1.0,1.0,4,1.0,1.0,1.0,50.0,28,7,1,75,75116,2,4,0.0,6.0,48.85816,2.274835,15,3,1
10,3,2,8.0,2021,19.0,7.0,1.0,1.0,3,1.0,2.0,1.0,50.0,14,1,2,71,71270,2,2,1.0,6.0,46.29965,4.82583,7,2,1
1,1,1,2.0,2021,18.0,2.0,0.0,1.0,4,1.0,1.0,1.0,50.0,22,3,1,92,92044,2,1,0.0,7.0,48.8927987264,2.2813186795,14,2,1
1,1,1,1.0,2021,73.0,3.0,2.0,1.0,3,2.0,1.0,1.0,50.0,23,6,1,63,63066,1,1,0.0,1.0,45.867208,3.642831,10,2,2
1,1,1,1.0,2021,21.0,7.0,2.0,1.0,1,3.0,1.0,1.0,90.0,25,5,1,13,13211,1,1,0.0,5.0,43.285011,5.424381,8,5,5
1,1,1,2.0,2021,52.0,33.0,0.0,1.0,4,2.0,1.0,4.0,50.0,15,6,1,74,74278,2,1,0.0,7.0,46.083523,6.523846,18,1,1
1,1,2,1.0,2021,35.0,7.0,2.0,1.0,4,2.0,1.0,1.0,50.0,30,3,1,78,78440,2,9,1.0,2.0,48.993982,1.918482,13,2,2
2,2,1,8.0,2021,11.0,60.0,2.0,5.0,7,2.0,1.0,4.0,50.0,23,8,1,31,31555,2,9,0.0,3.0,43.65255,1.43255,16,3,2
10,3,2,0.0,2021,52.0,7.0,1.0,1.0,3,2.0,1.0,8.0,50.0,12,5,1,69,69189,2,2,0.0,6.0,45.526647,4.867128,12,2,1
10,3,1,8.0,2021,8.0,7.0,2.0,1.0,4,1.0,1.0,1.0,30.0,22,11,1,976,97611,2,1,0.0,6.0,-12.80717,45.20471,11,2,1
1,1,2,1.0,2021,74.0,7.0,2.0,1.0,4,2.0,1.0,1.0,50.0,27,2,1,80,80164,2,1,0.0,3.0,49.89814,2.35457,17,2,2
1,1,1,2.0,2021,16.0,2.0,2.0,1.0,3,2.0,1.0,1.0,50.0,4,1,5,54,54212,2,2,0.0,3.0,49.491866,5.649612,18,2,2
1,1,1,8.0,2021,22.0,7.0,0.0,1.0,3,2.0,1.0,3.0,80.0,9,5,3,11,11430,1,1,1.0,6.0,43.288952,1.89291,0,1,1
1,1,1,1.0,2021,58.0,7.0,2.0,1.0,1,3.0,1.0,1.0,110.0,2,4,5,93,93051,1,1,0.0,2.0,48.8361710985,2.558127345,22,2,2
1,1,2,1.0,2021,27.0,7.0,2.0,1.0,4,2.0,1.0,1.0,50.0,21,12,1,88,88413,2,9,1.0,1.0,48.28618,6.95649,10,4,2
1,1,1,2.0,2021,35.0,80.0,2.0,3.0,3,2.0,1.0,1.0,30.0,1,6,3,974,97415,2,1,0.0,1.0,-20.978871,55.331553,6,2,2
10,3,2,0.0,2021,70.0,7.0,1.0,1.0,3,2.0,1.0,1.0,50.0,31,12,1,91,91691,2,1,1.0,6.0,48.709581,2.481405,11,2,1
1,1,1,2.0,2021,47.0,50.0,2.0,3.0,4,2.0,1.0,5.0,50.0,11,8,1,75,75113,2,3,0.0,3.0,48.837945,2.373266,6,2,2
1,1,1,2.0,2021,32.0,32.0,2.0,1.0,2,2.0,1.0,1.0,50.0,29,4,1,971,97129,2,9,0.0,3.0,16.331677,-61.695473,15,2,2
1,1,1,8.0,2021,25.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,17,9,1,27,27229,2,1,0.0,6.0,49.025141,1.180432,13,2,2
1,1,1,8.0,2021,32.0,7.0,0.0,1.0,4,2.0,1.0,1.0,50.0,13,11,5,69,69389,2,9,0.0,6.0,45.78629,4.8012,3,1,1
1,1,2,2.0,2021,29.0,33.0,2.0,1.0,4,2.0,1.0,1.0,50.0,25,9,1,25,25462,2,4,0.0,3.0,46.91817,6.34363,10,2,2
1,1,1,1.0,2021,38.0,7.0,2.0,1.0,2,1.0,2.0,1.0,90.0,5,12,3,91,91174,1,1,0.0,4.0,48.62054,2.46083,17,5,5
2,2,2,1.0,2021,26.0,7.0,2.0,1.0,3,1.0,1.0,1.0,50.0,20,6,5,6,6085,2,2,0.0,3.0,43.582776,7.009566,0,4,2
1,1,1,1.0,2021,38.0,7.0,0.0,1.0,4,2.0,1.0,3.0,50.0,15,12,3,37,37027,2,1,0.0,6.0,47.3179430884,0.9985247254,22,1,1
1,1,1,8.0,2021,55.0,1.0,2.0,5.0,3,2.0,1.0,1.0,30.0,6,6,1,94,94033,2,2,0.0,2.0,48.852574,2.490785,17,4,2
1,1,1,2.0,2021,61.0,33.0,2.0,1.0,4,1.0,1.0,1.0,50.0,1,9,1,58,58194,2,1,0.0,2.0,46.9834,3.1828,16,2,2
1,1,1,2.0,2021,44.0,33.0,2.0,1.0,4,2.0,1.0,1.0,50.0,18,5,1,75,75120,2,1,0.0,3.0,48.853069,2.408185,8,2,2
10,3,1,8.0,2021,12.0,32.0,1.0,1.0,4,1.0,1.0,8.0,50.0,15,12,5,91,91161,2,1,0.0,6.0,48.70616,2.31354,17,2,1
1,1,1,2.0,2021,27.0,32.0,2.0,1.0,1,1.0,2.0,1.0,90.0,10,9,3,94,94017,1,1,0.0,2.0,48.82968,2.49823,21,2,2
1,1,1,2.0,2021,47.0,2.0,2.0,1.0,3,2.0,1.0,1.0,50.0,7,6,1,34,34023,2,3,0.0,3.0,43.447591,3.693123,20,3,2
2,2,1,1.0,2021,22.0,7.0,0.0,1.0,4,2.0,1.0,1.0,50.0,19,6,5,49,49353,2,1,0.0,6.0,47.45604,-0.472376,22,2,1
1,1,1,8.0,2021,21.0,80.0,0.0,3.0,4,1.0,1.0,1.0,50.0,3,6,1,94,94002,2,1,0.0,3.0,48.80093,2.42231,12,1,1
4,2,1,8.0,2021,19.0,10.0,0.0,1.0,3,2.0,1.0,1.0,70.0,31,5,3,77,77216,1,9,0.0,6.0,48.298363,2.6802,4,4,1
1,1,2,2.0,2021,36.0,2.0,0.0,1.0,3,2.0,1.0,1.0,30.0,12,8,1,83,83107,2,1,0.0,2.0,43.341833585,6.6929622513,9,2,2
1,1,1,2.0,2021,36.0,2.0,2.0,1.0,4,2.0,2.0,1.0,50.0,4,12,1,50,50129,2,2,1.0,1.0,49.63116,-1.58592,13,2,2
1,1,1,2.0,2021,34.0,32.0,2.0,1.0,1,3.0,1.0,1.0,90.0,18,6,1,93,93064,1,1,0.0,3.0,48.87506,2.47875,21,2,2
1,1,1,2.0,2021,29.0,34.0,2.0,1.0,2,2.0,1.0,1.0,50.0,4,1,1,65,65047,2,2,0.0,3.0,43.2332390995,0.0919649005,13,2,2
1,1,1,2.0,2021,33.0,33.0,2.0,1.0,3,2.0,1.0,1.0,50.0,8,9,1,45,45147,2,2,0.0,1.0,47.9273,1.89841,18,2,2
2,2,1,2.0,2021,56.0,33.0,2.0,1.0,2,3.0,1.0,1.0,50.0,5,7,2,87,87085,2,1,0.0,3.0,45.83327,1.27528,6,3,2
1,1,1,1.0,2021,30.0,7.0,0.0,1.0,4,2.0,2.0,1.0,50.0,5,8,3,49,49267,2,1,1.0,6.0,47.4676,-0.5149,22,1,1
2,2,1,2.0,2021,28.0,33.0,2.0,1.0,3,2.0,1.0,1.0,50.0,17,7,1,76,76351,2,1,0.0,6.0,49.52575,0.09016,15,3,2
10,3,1,0.0,2021,78.0,7.0,1.0,1.0,4,2.0,1.0,6.0,50.0,19,11,3,58,58194,2,3,0.0,3.0,46.9888,3.1332,18,2,1
10,3,2,0.0,2021,20.0,7.0,1.0,1.0,2,1.0,1.0,1.0,50.0,12,6,1,34,34145,2,1,0.0,6.0,43.6764627936,4.1328844428,13,2,1
1,1,1,2.0,2021,19.0,33.0,0.0,1.0,3,2.0,1.0,1.0,50.0,6,6,1,60,60330,1,1,0.0,7.0,49.274917,2.172847,15,1,1
1,1,2,8.0,2021,30.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,6,1,5,29,29232,2,3,0.0,1.0,47.985618038,-4.0778160095,22,2,2
1,1,1,0.0,2021,21.0,2.0,2.0,1.0,3,2.0,1.0,1.0,50.0,22,3,1,77,77409,1,1,0.0,1.0,48.4041195425,2.9752757327,12,2,2
10,3,1,0.0,2021,10.0,7.0,1.0,1.0,3,2.0,1.0,1.0,50.0,15,12,5,93,93031,2,1,0.0,6.0,48.94919,2.32986,19,2,1
1,1,1,1.0,2021,45.0,7.0,2.0,1.0,3,2.0,2.0,1.0,50.0,30,10,1,93,93031,2,1,1.0,2.0,48.94377,2.33916,16,2,2
10,3,2,0.0,2021,33.0,7.0,1.0,1.0,4,2.0,1.0,1.0,50.0,14,8,3,95,95313,1,1,0.0,6.0,49.124881,2.245941,3,2,1
1,1,1,1.0,2021,33.0,7.0,2.0,1.0,4,2.0,1.0,1.0,50.0,9,3,1,51,51454,2,1,0.0,4.0,49.2555154035,4.0153124928,13,3,3
1,1,1,2.0,2021,50.0,33.0,0.0,1.0,4,3.0,2.0,1.0,50.0,7,11,3,62,62667,2,6,1.0,6.0,50.71329,1.58333,2,1,1
1,1,2,2.0,2021,53.0,1.0,1.0,5.0,4,2.0,1.0,1.0,30.0,12,4,1,56,56121,2,1,0.0,6.0,47.75926,-3.37992,18,2,1
1,1,1,2.0,2021,77.0,31.0,2.0,1.0,4,1.0,1.0,1.0,50.0,14,4,1,6,6088,2,3,0.0,3.0,43.701135,7.269627,10,2,2
1,1,1,2.0,2021,57.0,33.0,2.0,1.0,2,3.0,1.0,1.0,70.0,10,12,3,974,97411,2,1,0.0,3.0,-20.8771092057,55.4561063647,20,2,2
1,1,2,1.0,2021,24.0,7.0,0.0,1.0,4,2.0,1.0,3.0,50.0,3,6,2,988,98825,1,1,0.0,6.0,-21.258581,165.022459,6,1,1
1,1,2,0.0,2021,29.0,80.0,2.0,3.0,3,2.0,1.0,1.0,50.0,31,3,1,25,25411,2,6,0.0,3.0,47.057383,6.611297,17,2,2
1,1,2,1.0,2021,23.0,7.0,2.0,1.0,3,3.0,1.0,1.0,50.0,30,5,1,86,86194,2,2,0.0,3.0,46.58224,0.36789,15,3,2
1,1,1,2.0,2021,70.0,1.0,2.0,5.0,3,2.0,1.0,1.0,50.0,7,3,1,49,49307,2,3,1.0,3.0,47.408643,-0.313346,10,2,2
1,1,2,1.0,2021,43.0,7.0,2.0,1.0,3,2.0,1.0,1.0,50.0,22,7,1,91,91286,2,1,0.0,5.0,48.64953,2.38366,17,3,3
4,2,2,1.0,2021,5.0,7.0,2.0,1.0,2,1.0,2.0,1.0,50.0,17,11,1,65,65440,2,1,1.0,4.0,43.220273,0.064707,7,4,3
1,1,1,2.0,2021,54.0,30.0,0.0,1.0,4,2.0,2.0,1.0,50.0,29,1,1,94,94077,2,1,1.0,7.0,48.732016,2.429597,14,1,1
8,2,1,1.0,2021,24.0,7.0,2.0,1.0,4,2.0,1.0,1.0,70.0,22,9,1,49,49307,1,9,0.0,3.0,47.465247,-0.399703,17,3,2
