Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,circ,nbv,vosp,prof,pr,pr1,plan,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,id_usager,id_vehicule_y,num_veh_y,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 750,A01,3,7,0,2,1,9,1,203 988 570,155 781 751,B01,1,1,4,2,2005.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 750,A01,3,7,0,2,1,9,1,203 988 571,155 781 752,C01,1,1,1,1,2000.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 750,A01,3,7,0,2,1,9,1,203 988 572,155 781 753,D01,1,1,4,2,1963.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 751,B01,-1,7,0,2,1,17,1,203 988 569,155 781 750,A01,1,1,4,1,1981.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 751,B01,-1,7,0,2,1,17,1,203 988 570,155 781 751,B01,1,1,4,2,2005.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 751,B01,-1,7,0,2,1,17,1,203 988 571,155 781 752,C01,1,1,1,1,2000.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 751,B01,-1,7,0,2,1,17,1,203 988 572,155 781 753,D01,1,1,4,2,1963.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 752,C01,-1,7,0,0,3,2,1,203 988 569,155 781 750,A01,1,1,4,1,1981.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 752,C01,-1,7,0,0,3,2,1,203 988 570,155 781 751,B01,1,1,4,2,2005.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 752,C01,-1,7,0,0,3,2,1,203 988 571,155 781 752,C01,1,1,1,1,2000.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 752,C01,-1,7,0,0,3,2,1,203 988 572,155 781 753,D01,1,1,4,2,1963.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 753,D01,-1,7,0,0,1,2,1,203 988 569,155 781 750,A01,1,1,4,1,1981.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 753,D01,-1,7,0,0,1,2,1,203 988 570,155 781 751,B01,1,1,4,2,2005.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 753,D01,-1,7,0,0,1,2,1,203 988 571,155 781 752,C01,1,1,1,1,2000.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,0,1,1,0,1,17.0,2,0,1,50,155 781 753,D01,-1,7,0,0,1,2,1,203 988 572,155 781 753,D01,1,1,4,2,1963.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 750,A01,3,7,0,2,1,9,1,203 988 569,155 781 750,A01,1,1,4,1,1981.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 750,A01,3,7,0,2,1,9,1,203 988 570,155 781 751,B01,1,1,4,2,2005.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 750,A01,3,7,0,2,1,9,1,203 988 571,155 781 752,C01,1,1,1,1,2000.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 750,A01,3,7,0,2,1,9,1,203 988 572,155 781 753,D01,1,1,4,2,1963.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 751,B01,-1,7,0,2,1,17,1,203 988 569,155 781 750,A01,1,1,4,1,1981.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 751,B01,-1,7,0,2,1,17,1,203 988 570,155 781 751,B01,1,1,4,2,2005.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 751,B01,-1,7,0,2,1,17,1,203 988 571,155 781 752,C01,1,1,1,1,2000.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 751,B01,-1,7,0,2,1,17,1,203 988 572,155 781 753,D01,1,1,4,2,1963.0,0,8,0,-1,-1, -1,-1
202400000005,25,3,2024,19:35,5,13,13106,1,3,2,5,BEDOULE (CHEMIN DE LA),43.39,5.35,1,BEDOULE (CHEMIN DE LA),0,2,4,1,2,272,0,1,17.0,2,0,1,70,155 781 752,C01,-1,7,0,0,3,2,1,203 988 569,155 781 750,A01,1,1,4,1,1981.0,0,8,0,-1,-1, -1,-1
