__id,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc
1,202400000001,155 781 758,A01,1,7,0,2,1,13,1,
2,202400000001,155 781 759,B01,2,14,0,2,2,21,1,
3,202400000002,155 781 757,A01,1,10,0,1,3,15,1,
4,202400000003,155 781 756,A01,3,3,9,1,1,1,1,
5,202400000004,155 781 754,B01,3,34,0,2,0,0,1,
6,202400000004,155 781 755,A01,3,7,0,2,3,15,0,
7,202400000005,155 781 750,A01,3,7,0,2,1,9,1,
8,202400000005,155 781 751,B01,-1,7,0,2,1,17,1,
9,202400000005,155 781 752,C01,-1,7,0,0,3,2,1,
10,202400000005,155 781 753,D01,-1,7,0,0,1,2,1,
11,202400000006,155 781 748,A01,3,7,0,2,1,1,1,
12,202400000006,155 781 749,B01,2,7,0,2,6,19,1,
13,202400000007,155 781 746,A01,2,7,0,2,2,15,1,
14,202400000007,155 781 747,B01,3,7,0,2,3,9,2,
15,202400000008,155 781 742,A01,1,7,0,2,1,2,1,
16,202400000008,155 781 743,B01,1,7,0,2,4,2,1,
17,202400000009,155 781 741,A01,1,7,6,5,2,14,1,
18,202400000010,155 781 740,A01,1,33,12,0,8,18,1,
19,202400000011,155 781 738,B01,2,7,0,2,4,1,1,
20,202400000011,155 781 739,A01,2,7,0,2,1,2,1,
21,202400000012,155 781 737,A01,1,33,0,0,7,1,1,
22,202400000013,155 781 736,A01,2,2,0,1,2,1,1,
23,202400000014,155 781 734,Z01,2,1,0,2,2,17,5,
24,202400000014,155 781 735,A01,2,1,0,2,3,1,5,
25,202400000015,155 781 732,A01,3,80,0,2,1,1,3,
26,202400000015,155 781 733,B01,1,80,0,2,1,1,3,
27,202400000016,155 781 730,B01,2,50,1,0,2,22,3,
28,202400000016,155 781 731,A01,3,10,1,2,2,22,1,
29,202400000017,155 781 729,A01,1,7,0,1,4,26,1,
30,202400000018,155 781 727,A01,2,7,0,2,3,9,1,
31,202400000018,155 781 728,B01,2,1,0,2,7,1,5,
32,202400000019,155 781 726,A01,2,7,0,1,1,16,2,
33,202400000020,155 781 724,A01,0,2,0,2,1,17,1,
34,202400000020,155 781 725,B01,0,33,0,2,1,1,1,
35,202400000021,155 781 723,A01,0,50,0,1,1,26,3,
36,202400000022,155 781 722,A01,1,7,2,0,1,1,1,
