__id,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
1,202400000001,3,D438,0,,2,2,0,1,1,260,2,,7.0,1,0,1,90
2,202400000002,4,HOTEL DIEU (RUE DE L'),0,,2,2,0,1, -1, -1,1,,-1.0,9,0,1,30
3,202400000002,4,POTERNE (RUE),0,,1,1,0,1, -1, -1,1,,-1.0,9,0,1,30
4,202400000003,4,TILLEULS (ALLEE DES),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,3,50
5,202400000004,4,AUTHIE (N° 106 PAIRS -115 IMPAIRS),0,,2,4,0,1, -1, -1,1,,-1.0,1,9,1,50
6,202400000004,4,HAGUE (RUE DE LA),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
7,202400000005,1,BEDOULE (CHEMIN DE LA),0,,2,4,0,1,1,0,1,,17.0,2,0,1,50
8,202400000005,1,BEDOULE (CHEMIN DE LA),0,,2,4,1,2,272,0,1,,17.0,2,0,1,70
9,202400000006,4,Petite Ourse (rue de la),0,,2,0,0,1,0,0,1,,-1.0,1,5,1,50
10,202400000006,4,Petite Ourse (rue de la),0,,2,3,0,2,0,0,1,,-1.0,1,5,1,50
11,202400000007,6,HUILES (PLACE AUX),0,,2,2,0,1,0,0,2,,-1.0,1,9,1,50
12,202400000008,4,MARCALE (RUE DE),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
13,202400000009,4,TOURTOUSSE (CHEMIN DE),0,,2,1,0,1, -1, -1,2,,-1.0,1,0,3,50
14,202400000010,4,FAURE (AV. FELIX),0,,1,2,1,1,0,0,1,,-1.0,1,0,5,50
15,202400000011,4,PORTE DE VINCENNES,0,,1,4,0,1,32,600,1,,-1.0,1,0,1,70
16,202400000012,4,PORTE DE CLICHY,0,,1,4,0,1,19,0,1,,-1.0,8,0,1,70
17,202400000013,4,RUE GASTON TESSIER,0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,30
18,202400000014,4,RUE DE CRIMEE,0,,-1,2,1,1, -1, -1,1,,-1.0,1,0,1,30
19,202400000014,4,RUE DE THIONVILLE,0,,1,1,0,1, -1, -1,1,,-1.0,1,0,8,30
20,202400000015,4,,-1,,1, -1,-1,1, -1, -1,1,,-1.0,1,0,8,20
21,202400000015,4,QUAI DE LA GIRONDE,0,,2,2,3,2, -1, -1,1,,-1.0,1,6,8,20
22,202400000016,4,BOULEVARD BARBES,0,,1,2,2,2, -1, -1,1,,-1.0,1,0,5,30
23,202400000016,4,,-1,,1, -1,-1,1, -1, -1,1,,-1.0,1,0,1,30
24,202400000017,4,,-1,,1, -1,-1,1, -1, -1,1,,-1.0,1,0,1,30
25,202400000017,4,RUE GUILLAUME TELL,0,,1,1,0,1, -1, -1,1,,-1.0,1,0,1,30
26,202400000018,4,BOULEVARD VICTOR,0,,1,2,1,1, -1, -1,1,,-1.0,1,0,1,50
27,202400000019,4,RUE REAUMUR,0,,1,3,0,1, -1, -1,1,,-1.0,2,0,1,30
28,202400000019,4,RUE SAINT DENIS,0,,1,1,0,1, -1, -1,1,,-1.0,2,0,1,30
29,202400000020,3,161,0,,2,2,0,2,0,1,1,,7.0,1,0,1,50
30,202400000021,3,,-1,,3,4,3,1, -1, -1,1,,-1.0,1,-1,6,-1
31,202400000021,3,,0,,3,4,3,1,0,1,1,,-1.0,1,-1,6,50
32,202400000022,3,SOGNY (RTE DE),0,,2,2,0,1,1,720,1,,-1.0,1,0,1,80
33,202400000023,4,CAMP D' ATTILA (RUE DU),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
34,202400000023,4,MELETTE (CHEM DE),0,,1, -1,3,2, -1, -1,2,,-1.0,1,0,1,30
35,202400000024,4,CALABET (QUAI DU DOCTEUR),0,,2,2,0,2,0,0,1,,-1.0,1,0,4,50
36,202400000025,3,RN 60,0,,3,4,0,1,3,866,1,,4.0,1,0,1,70
37,202400000026,4,CHATELET (QUAI DU),0,,2,2,1,1, -1, -1,1,,-1.0,1,0,6,25
38,202400000027,4,BOULEVARD DES ANGLAIS,0,,2,2,0,2, -1, -1,3,,-1.0,1,0,1,50
39,202400000028,4,RUE DE L'HOTEL DE VILLE,0,,2,2,0,1, -1, -1,1,,-1.0,1,9,1,30
40,202400000029,4,AMICALISTES,0,,1, -1,0,4, -1, -1,1,,-1.0,1,0,1,50
41,202400000029,4,KLEBER,0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
42,202400000030,4,HALLES (RUE DES),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
43,202400000030,4,MARCEAU (RUE),0,,1,2,1,1, -1, -1,1,,-1.0,1,0,1,50
44,202400000031,4,MOULIN DE JOUE (DU),0,,2,2,2,2, -1, -1,1,,-1.0,1,0,1,30
45,202400000032,4,MARTELLI GILBERT (AVENUE),0,,1,1,0,1,1,0,1,,-1.0,1,0,1,50
46,202400000033,4,CAPITAINE PIERRE PONTAL (RUE DU),0,,2,2,0,1,0,0,1,,-1.0,1,8,1,50
47,202400000033,4,POMPIGNANE (AVENUE DE LA),0,,-1,2,0,1,0,0,1,,-1.0,1,0,1,50
48,202400000034,4,QUAI DE LA GRAVE,0,,2,4,0,1, -1, -1,1,,-1.0,1,0,1,50
49,202400000035,4,QUAI DU PRESIDENT WILSON,0,,3,6,0,1, -1, -1,1,,-1.0,1,0,1,50
50,202400000035,4,RUE PAULY,0,,1,1,0,1, -1, -1,1,,-1.0,1,0,1,30
51,202400000036,4,EIFFEL (RUE GUSTAVE) DU 380 ET +,0,,2,2,0,1, -1, -1,1,,-1.0,1,0,8,50
52,202400000036,4,PAPIN (RUE DENIS),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
53,202400000037,3,ROUILLEN AVENUE,0,,2,1,0,1,2,0,1,,-1.0,1,9,3,30
54,202400000038,2,RN 165,0,,2,2,0,1,54,200,1,,10.0,1,8,1,80
55,202400000039,4,MAUSSIBOT (RUE EUGENE),0,,2,2,0,1,0,0,1,,-1.0,1,0,1,50
56,202400000039,4,REPUBLIQUE (AVENUE DE LA),0,,2,0,0,1,0,0,1,,-1.0,1,0,1,50
57,202400000040,3,ROUEN (AVENUE DE),0,,2,2,0,1,4,88,1,,-1.0,1,0,1,50
58,202400000041,4,,-1,,2,2,0,1, -1, -1,1,,-1.0,1,0,4,50
59,202400000041,4,,-1,,2,2,0,1, -1, -1,1,,-1.0,2,0,4,50
60,202400000042,3,145,0,D,2,2,0,1,31,150,1,,-1.0,1,9,1,70
61,202400000043,4,,0,,1,1,0,1,0,1,1,,-1.0,1,0,1,50
62,202400000044,1,A7-Sens Marseille vers Lyon,0,,-1,3,0,1,273,869,1,,-1.0,2,8,1,70
63,202400000045,4,CLEMENCEAU GEORGES AVENUE N° PAIR,0,,3,0,0,1,0,0,1,,-1.0,1,0,8,50
64,202400000046,1,A50,0,,1,1,0,3,43,200,3,,-1.0,2,3,1,70
65,202400000047,4,EGLISE (RUE DE L'),0,,2,2,0,1,0,0,1,,-1.0,1,0,1,30
66,202400000048,1,AUTOROUTE A 10,0,,3,6,0,1,542,543,1,,14.0,1,3,1,90
67,202400000049,3,27,-1,,2,2,0,1,8,700,1,,7.0,1,0,3,70
68,202400000049,3,,-1,,2,2,0,1,24,380,1,,-1.0,1,0,3,80
69,202400000050,2,RN 441,0,,3,1,0,1,0,100,1,,7.0,2,0,1,70
70,202400000051,3,7,-1,,3,2,0,1, -1, -1,1,,5.0,1,0,1,70
71,202400000052,1,6B,0,,1,2,0,1,4,0,1,,-1.0,1,0,1,90
72,202400000053,3,767,0,,3,2,0,1,42,550,2,,7.0,2,0,3,110
73,202400000054,1,6B,0,,-1,2,0,1,2,200,1,,-1.0,1,0,1,70
74,202400000055,2,RN1014 Y,0,,1,3,0,1,0,500,1,,-1.0,2,1,1,70
75,202400000056,2,N118,0,,3,2,0,1,5,800,1,,-1.0,1,3,1,50
76,202400000057,3,38,-1,,2,2,0,1,4,700,3,,5.0,1,0,1,50
77,202400000057,3,956,-1,,2,2,0,1,14,200,1,,7.0,1,0,1,50
78,202400000058,1,AUTOROUTE A1,0,,3,6,0,1,18,0,1,,-1.0,2,0,1,110
79,202400000059,3,N7,0,,2,2,0,1,9,150,3,,7.0,1,0,1,90
80,202400000060,1,AUTOROUTE A15,0,,3,8,0,1,15,0,1,,-1.0,1,0,1,110
81,202400000061,3,137,0,D,3,4,0,1,57,600,1,,10.5,1,0,1,110
82,202400000062,3,386,-1,,2,2,0,1,0,0,3,,-1.0,1,5,1,50
83,202400000063,1,86,0,,3,3,0,1,30,299,1,,14.0,1,1,1,90
84,202400000064,3,468,-1,D,2,2,1,1,60,800,1,,5.5,1,0,1,50
85,202400000065,1,A4.W,0,,1,3,0,2,21,200,3,,14.0,2,0,1,70
86,202400000066,3,12,-1,,2,2,0,1,29,10,1,,5.5,2,0,3,50
87,202400000067,2,21,-1,,3,0,0,2,45,800,1,,0.0,2,0,1,110
88,202400000068,4,HUIT MAI 1945 (BOULEVARD DU),0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
89,202400000068,4,,0,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
90,202400000069,3,609,0,R,2,2,0,1,47,850,1,,7.0,2,0,3,-1
91,202400000070,3,,-1,,2,2,0,1,22,2 218,1,,4.0,2,0,3,80
92,202400000071,4,AVENUE DE LA VICTOIRE H. LAFLEUR,0,,3,5,0,1,0,0,1,,-1.0,1,5,1,30
93,202400000071,4,RUE DU DOCTEUR LESCOUR,0,,1,2,0,1,0,0,1,,-1.0,1,5,1,30
94,202400000072,3,,-1,,2, -1,0,1,8,430,1,,-1.0,1,0,1,50
95,202400000072,3,,-1,,2,2,0,2, -1, -1,3,,5.5,1,0,1,50
96,202400000073,4,CLEMENCEAU (RUE QTIER MANUHOE),0,,1,2,0,1, -1, -1,1,,-1.0,1,5,1,20
97,202400000073,4,REMPARTS (RUE BLOC PACIFICAR),0,,4,3,0,1, -1, -1,1,,-1.0,1,5,1,20
98,202400000074,4,ANCIENNE RN2 (2),0,,2,2,1,2,0,0,2,,-1.0,1,0,5,50
99,202400000075,4,,-1,,2,2,0,1, -1, -1,1,,-1.0,1,0,1,50
100,202400000076,2,JAURES (BLD 2 JEAN),0,,1,2,1,1,8,18,2,,-1.0,1,9,1,50
